CNPJ_Fundo;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
04.644.612/0001-78;2022-06-01;1;2022-06-30;1;;;;;;;;1;;;;;;;;18573360.16;18542530.04;1306216.4796358;14.1956025889139;0.000895;0.000507;-0.00109;-0.00109;;
04.644.612/0001-78;2022-07-01;1;2022-07-29;1;;;;;;;;1;;;;;;;;18549734.35;18518904.23;1306216.4796358;14.177515380271;0.000895;0.000507;-0.001274;-0.001274;;
04.644.612/0001-78;2022-08-01;1;2022-08-31;1;;;;;;;;1;;;;;;;;17333209.45;17302370.05;1306216.4796358;13.2461734480829;0.000895;0.000507;-0.065691;-0.065691;;
04.644.612/0001-78;2022-09-01;1;2022-09-30;1;;;;;;;;1;;;;;;;;17309269.61;17278439.49;1306216.4796358;13.2278529320175;0.00096122;0.000507;-0.001383;-0.001383;;
04.722.883/0001-02;2022-01-01;1;2022-01-31;818;796;11;0;0;0;0;0;1;0;0;0;6;3;0;1;810298588.36;796690441.59;3935562;202.433716;5.5E-05;0;0.002979;-0.000234;0.003213;0
04.722.883/0001-02;2022-02-01;1;2022-02-25;811;789;11;0;0;0;0;0;1;0;0;0;6;3;0;1;810148564.41;796802863.78;3935562;202.462282;3.8E-05;0;0.002733;0.000141;0.002592;0
04.722.883/0001-02;2022-03-01;1;2022-03-31;806;784;11;0;0;0;0;0;1;0;0;0;6;3;0;1;808793366.39;796806635.95;3935562;202.463241;3.9E-05;0;0.001019;5E-06;0.001014;0
04.722.883/0001-02;2022-04-01;1;2022-04-29;806;783;11;0;0;0;0;0;1;0;0;0;6;4;0;1;808977682.14;796836066.77;3935562;202.470719;3.8E-05;0;0.003116;3.7E-05;0.003079;0
04.722.883/0001-02;2022-05-01;1;2022-05-31;788;765;11;0;0;0;0;0;1;0;0;0;6;4;0;1;807168305.35;796866767.12;3935562;202.478519;4.3E-05;0;0.000935;3.9E-05;0.000896;0
04.722.883/0001-02;2022-06-01;2;2022-06-30;780;757;11;0;0;0;0;0;1;0;0;0;6;4;0;1;806420650.03;796883036.16;3935562;202.482653;3.9E-05;0;0.001925;2E-05;0.001905;0
04.722.883/0001-02;2022-07-01;1;2022-07-29;765;742;11;0;0;0;0;0;1;0;0;0;6;4;0;1;804937061.47;796998218.36;3935562;202.51192;4.7E-05;0;0.001636;0.000145;0.001491;0
04.722.883/0001-02;2022-08-01;1;2022-08-31;764;742;11;0;0;0;0;0;1;0;0;0;5;4;0;1;804305147.38;797038659.97;3935562;202.522196;3.2E-05;0;0.00155;5.1E-05;0.001499;0
04.782.236/0001-88;2022-01-01;1;2022-01-31;2;;;;;;;;;;;;;;;;674946644.46;651998974.9;3575484;182.352647893264;0.00024;0;-0.007628;-0.013309;0.005681;
